English Value,Language,Localized Value,String Type
Add more items,en,Add more items,Button
Add to cart,en,Add to cart,Button
Additional details,en,Additional details,Label
Approval comments,en,Approval comments,Label
Approval status,en,Approval status,Label
Approver,en,Approver,Label
Asset number,en,Asset number,Label
Business group,en,Business group,Label
Business group required,en,Business group required,Accessible Label
Cancel,en,Cancel,Button
Category,en,Category,Label
Completed on,en,Completed on,Label
Contrast Theme,en,Contrast Theme,Label
Create new request,en,Create new request,Button
Dark Theme,en,Dark Theme,Label
Decrease quantity,en,Decrease quantity,Tooltip
Delete request,en,Delete request,Accessible Label
Delete request,en,Delete request,Button
Delivered on,en,Delivered on,Label
Department,en,Department,Label
Details,en,Details,Label
Device,en,Device,Label
Device catalog,en,Device catalog,Accessible Label
Device image,en,Device image,Accessible Label
Edit request,en,Edit request,Accessible Label
Edit request,en,Edit request,Button
Enter additional details,en,Enter additional details,Hint Text
Enter request title,en,Enter request title,Hint Text
Error deleting request,en,Error deleting request,Notification
Error in creating new request line item,en,Error in creating new request line item,Notification
Error in saving request,en,Error in saving request,Notification
Error updating request,en,Error updating request,Notification
Filter brand,en,Filter brand,Hint Text
Filter sub-type,en,Filter sub-type,Hint Text
Hardware Request,en,Hardware Request,Label
Home,en,Home,Tooltip
Increase quantity,en,Increase quantity,Tooltip
items,en,items,Label
Items added to cart,en,Items added to cart,Notification
Light Theme,en,Light Theme,Label
Manufacturer,en,Manufacturer,Label
My Assets,en,My Assets,Label
My assets list,en,My assets list,Accessible Label
My Devices,en,My Devices,Label
My requests list,en,My requests list,Accessible Label
No items,en,No items,Label
Part Number,en,Part Number,Label
Price,en,Price,Label
Product image,en,Product image,Accessible Label
Product image,en,Product image,Accessible Label
Products,en,Products,Accessible Label
Quantity,en,Quantity,Label
Quantity of products,en,Quantity of products,Accessible Label
Quick find,en,Quick find,Accessible Label
Refresh eligible on,en,Refresh eligible on,Label
Remove,en,Remove,Button
Request cart,en,Request cart,Tooltip
Request deleted,en,Request deleted,Label
Request items,en,Request items,Accessible Label
Request status,en,Request status,Accessible Label
Request submitted,en,Request submitted,Label
Request title,en,Request title,Label
Request title required,en,Request title required,Accessible Label
Requested on,en,Requested,Label
Requested on behalf of,en,Requested on behalf of,Label
Return to homepage,en,Return to homepage,Button
Search devices,en,Search devices,Hint Text
Search icon,en,Search icon,Accessible Label
Select business group,en,Select business group,Label
Select From Available Devices,en,Select From Available Devices,Label
Select on behalf of,en,Select on behalf of,Hint Text
Serial number,en,Serial number,Label
Settings,en,Settings,Label
Spacer,en,Spacer,Accessible Label
Stage,en,Stage,Label
Submit request,en,Submit request,Button
Submitted on,en,Submitted on,Label
Success icon,en,Success icon,Accessible Label
This request has already been approved or rejected and cannot be modified. Work directly with the ap,en,This request has already been approved or rejected and cannot be modified. Work directly with the approver to make any changes.,Notification
Total,en,Total,Label
Total price,en,Total price,Label
View all,en,View all,Button
View details,en,View details,Label
View my devices,en,View my devices,Button
View my requests,en,View my requests,Button
What do you want to do?,en,What do you want to do?,Label
You have successfully deleted the hardware request.,en,You have successfully deleted the hardware request.,Label
"You have successfully submitted a hardware request. As a next step, the request will be reviewed for approval at which point you will be notified.",en,"You have successfully submitted a hardware request. As a next step, the request will be reviewed for approval at which point you will be notified.",Label
Your cart is currently empty,en,Your cart is currently empty,Label
