English Value,Language,Localized Value,String Type
Account,en,Account,Label
Account group,en,Account group,Label
Add,en,Add,Button
Amount,en,Amount,Label
Approve,en,Approve,Button
Approved by,en,Approved by,Label
Attachments,en,Attachments,Button
Cancel,en,Cancel,Button
Chart of accounts,en,Chart of accounts,Label
City,en,City,Label
Clear,en,Clear,Button
Collapse company codes,en,Collapse company codes,Tooltip
Collapse emails,en,Collapse emails,Tooltip
Collapse menu,en,Collapse menu,Accessible Label
Collapse phones,en,Collapse phones,Tooltip
Collapse purchasing organizations,en,Collapse purchasing organizations,Tooltip
Company code,en,Company code,Label
Company code already exists for vendor,en,Company code already exists for vendor,Notification
Company codes,en,Company codes,Label
Convert to purchase order,en,Convert to purchase order,Button
Copy,en,Copy,Button
Country,en,Country,Label
Create,en,Create,Button
Create goods receipt,en,Create goods receipt,Label
Created by,en,Created by,Label
Created from,en,Created from,Label
Created on,en,Created on,Label
Created to,en,Created to,Label
Currency,en,Currency,Label
Customers,en,Customers,Label
Default email,en,Default email,Label
Default phone,en,Default phone,Label
Delete,en,Delete,Button
Delivery note,en,Delivery note,Label
Description,en,Description,Label
Details,en,Details,Label
Divider,en,Divider,Accessible Label
Done,en,Done,Button
Edit,en,Edit,Button
Edit purchase order item details,en,Edit purchase order item details,Label
Edit requisition item details,en,Edit requisition item details,Label
Edit vendor company code details,en,Edit vendor company code details,Label
Edit vendor email details,en,Edit vendor email details,Label
Edit vendor phone details,en,Edit vendor phone details,Label
Edit vendor purchasing organization details,en,Edit vendor purchasing organization details,Label
Email address,en,Email address,Label
Emails,en,Emails,Label
Enter account,en,Enter account,Hint Text
Enter city,en,Enter city,Hint Text
Enter delivery note,en,Enter delivery note,Hint Text
Enter description,en,Enter description,Hint Text
Enter email address,en,Enter email address,Hint Text
Enter extension,en,Enter extension,Hint Text
Enter order number,en,Enter order number,Hint Text
Enter phone number,en,Enter phone number,Hint Text
Enter postal code,en,Enter postal code,Hint Text
Enter quantity,en,Enter quantity,Hint Text
Enter quantity received,en,Enter quantity received,Hint Text
Enter requisition,en,Enter requisition,Hint Text
Enter street,en,Enter street,Hint Text
Enter unit price,en,Enter unit price,Label
Enter vendor name,en,Enter vendor name,Hint Text
Enter vendor number,en,Enter vendor number,Hint Text
Execute general ledger account search,en,Execute general ledger account search,Accessible Label
Execute search,en,Execute search,Accessible Label
Execute vendor search,en,Execute vendor search,Accessible Label
Expand company codes,en,Expand company codes,Tooltip
Expand emails,en,Expand emails,Tooltip
Expand menu,en,Expand menu,Accessible Label
Expand phones,en,Expand phones,Tooltip
Expand purchasing organizations,en,Expand purchasing organizations,Tooltip
Extension,en,Extension,Label
Filter,en,Filter,Label
Filter company codes,en,Filter company codes,Hint Text
Filter emails,en,Filter emails,Hint Text
Filter general ledger accounts,en,Filter general ledger accounts,Hint Text
Filter items,en,Filter items,Hint Text
Filter materials,en,Filter materials,Hint Text
Filter phones,en,Filter phones,Hint Text
Filter purchase orders,en,Filter purchase orders,Label
Filter purchasing organizations,en,Filter purchasing organizations,Hint Text
Filter requisitions,en,Filter requisitions,Label
Filter vendors,en,Filter vendors,Hint Text
General,en,General,Label
General ledger account,en,General ledger account,Label
General ledger account advanced search,en,General ledger account advanced search,Accessible Label
General ledger account not found for selected company code,en,General ledger account not found for selected company code,Notification
General ledger account search,en,General ledger account search,Label
general ledger accounts found based upon your search criteria,en,general ledger accounts found based upon your search criteria,Notification
Goods receipt,en,Goods receipt,Label
Goods Receipts,en,Goods Receipts,Accessible Label
Group,en,Group,Label
Header text,en,Header text,Label
Header-Text,en,Header-Text,Label
Item,en,Item,Label
Items,en,Items,Label
Journal Entries,en,Journal Entries,Menu Item
Last searched,en,Last searched,Label
Loading,en,Loading,Label
Location,en,Location,Label
Main items,en,Main items,Accessible Label
Material,en,Material,Label
Material advanced search,en,Material advanced search,Accessible Label
Material group,en,Material group,Label
Material needs to be searched and resolved first,en,Material needs to be searched and resolved first,Tooltip
Material not found,en,Material not found,Notification
Material search,en,Material search,Label
materials found based upon your search criteria,en,materials found based upon your search criteria,Notification
Materials recently searched,en,Materials recently searched,Accessible Label
Menu groups,en,Menu groups,Accessible Label
Menu selected,en,Menu selected,Accessible Label
Name,en,Name,Label
New,en,New,Button
New purchase order,en,New purchase order,Label
New purchase order item details,en,New purchase order item details,Label
New requisition,en,New requisition,Label
New requisition item details,en,New requisition item details,Label
New vendor,en,New vendor,Label
New vendor company code details,en,New vendor company code details,Label
New vendor email details,en,New vendor email details,Label
New vendor phone details,en,New vendor phone details,Label
New vendor purchasing organization details,en,New vendor purchasing organization details,Label
No general ledger accounts found based upon your search criteria,en,No general ledger accounts found based upon your search criteria,Notification
No goods receipt,en,No goods receipt,Hint Text
No items,en,No items,Label
No materials found based upon your search criteria,en,No materials found based upon your search criteria,Notification
No payable,en,No payable,Hint Text
No payment,en,No payment,Hint Text
No purchase order,en,No purchase order,Hint Text
No purchase orders found based upon your search criteria,en,No purchase orders found based upon your search criteria,Notification
No purchase orders were found based on your search criteria,en,No purchase orders were found based on your search criteria,Notification
No recent purchase orders,en,No recent purchase orders,Accessible Label
No recent requisitions,en,No recent requisitions,Hint Text
No requisition,en,No requisition,Hint Text
No requisitions were found based on your search criteria,en,No requisitions were found based on your search criteria,Notification
No vendor invoice,en,No vendor invoice,Hint Text
No vendors found based upon your search criteria,en,No vendors found based upon your search criteria,Notification
One or more items needs to have quantity received greater than zero,en,One or more items needs to have quantity received greater than zero,Notification
Order number,en,Order number,Label
Order type,en,Order type,Label
Organization,en,Organization,Label
Payment,en,Payment,Label
Payment method,en,Payment method,Label
Payment terms,en,Payment terms,Label
Phone number,en,Phone number,Label
Phones,en,Phones,Label
Postal code,en,Postal code,Label
Purchase order,en,Purchase order,Label
Purchase order details,en,Purchase order details,Label
Purchase order not found,en,Purchase order not found,Notification
Purchase order search,en,Purchase order search,Label
Purchase order successfully created,en,Purchase order successfully created,Notification
Purchase order successfully updated,en,Purchase order successfully updated,Notification
Purchase order was successfully approved,en,Purchase order was successfully approved,Notification
Purchase Orders,en,Purchase Orders,Button
Purchase orders filters,en,Purchase orders filters,Label
purchase orders found based upon your search criteria,en,purchase orders found based upon your search criteria,Notification
Purchase orders recently searched,en,Purchase orders recently searched,Accessible Label
Purchasing group,en,Purchasing group,Label
Purchasing organization,en,Purchasing organization,Label
Purchasing organization already exists for vendor,en,Purchasing organization already exists for vendor,Notification
Purchasing organizations,en,Purchasing organizations,Label
Quantity,en,Quantity,Label
Quantity received,en,Quantity received,Label
Quotes,en,Quotes,Menu Item
Recent records,en,Recent records,Label
Recently searched,en,Recently searched,Label
record(s),en,record(s),Label
Refresh,en,Refresh,Accessible Label
Refresh vendor purchase orders,en,Refresh vendor purchase orders,Tooltip
Refresh vendor requisitions,en,Refresh vendor requisitions,Tooltip
Related purchase orders,en,Related purchase orders,Label
Related requisitions,en,Related requisitions,Label
Request details,en,Request details,Label
Requested from,en,Requested from,Label
Requested on,en,Requested on,Label
Requested to,en,Requested to,Label
Requisition,en,Requisition,Label
Requisition name,en,Requisition name,Label
Requisition not found,en,Requisition not found,Notification
Requisition search,en,Requisition search,Label
Requisition successfully created,en,Requisition successfully created,Notification
Requisition successfully updated,en,Requisition successfully updated,Notification
Requisition was successfully converted to purchase order,en,Requisition was successfully converted to purchase order,Notification
Requisitions,en,Requisitions,Menu Item
Requisitions filters,en,Requisitions filters,Label
requisitions found based upon your search criteria,en,requisitions found based upon your search criteria,Notification
Requisitions recently searched,en,Requisitions recently searched,Accessible Label
Save,en,Save,Button
Saving,en,Saving,Label
Search,en,Search,Button
Search all,en,Search all,Label
Search material,en,Search material,Hint Text
Search material number,en,Search material number,Hint Text
Search purchase order number,en,Search purchase order number,Hint Text
Search requisition number,en,Search requisition number,Hint Text
Search results,en,Search results,Label
Search vendor,en,Search vendor,Hint Text
Search vendor number,en,Search vendor number,Hint Text
Searching,en,Searching,Label
Select,en,Select,Label
Select account group,en,Select account group,Hint Text
Select chart of accounts,en,Select chart of accounts,Label
Select company code,en,Select company code,Hint Text
Select country,en,Select country,Hint Text
Select currency,en,Select currency,Hint Text
Select from date,en,Select from date,Hint Text
Select general ledger account,en,Select general ledger account,Hint Text
Select location,en,Select location,Hint Text
Select material group,en,Select material group,Hint Text
Select payment method,en,Select payment method,Hint Text
Select payment terms,en,Select payment terms,Hint Text
Select purchasing group,en,Select purchasing group,Hint Text
Select purchasing organization,en,Select purchasing organization,Hint Text
Select recent purchase order,en,Select recent purchase order,Hint Text
Select recent requisition,en,Select recent requisition,Hint Text
Select recent vendor,en,Select recent vendor,Hint Text
Select row,en,Select row,Accessible Label
Select state/province,en,Select state/province,Hint Text
Select to date,en,Select to date,Hint Text
Select type,en,Select type,Hint Text
Select unit,en,Select unit,Label
Sorted ascending,en,Sorted ascending,Accessible Label
Sorted descending,en,Sorted descending,Accessible Label
State/Province,en,State/Province,Label
Street,en,Street,Label
Tab selected,en,Tab selected,Accessible Label
The following information is required before saving,en,The following information is required before saving,Notification
The following information is required before searching,en,The following information is required before searching,Notification
The maximum number of search results were found based upon your criteria and some records may be missing. Please try changing your search criteria.,en,The maximum number of search results were found based upon your criteria and some records may be missing. Please try changing your search criteria.,Notification
Total,en,Total,Label
Type,en,Type,Label
Unexpected error occurred,en,Unexpected error occurred,Notification
Unit,en,Unit,Label
Unit price,en,Unit price,Label
Unselect all company codes,en,Unselect all company codes,Label
Unselect all emails,en,Unselect all emails,Label
Unselect all phones,en,Unselect all phones,Label
Unselect all purchasing organizations,en,Unselect all purchasing organizations,Label
Unselect row,en,Unselect row,Label
Vendor,en,Vendor,Label
Vendor advanced search,en,Vendor advanced search,Accessible Label
Vendor invoice,en,Vendor invoice,Label
Vendor name,en,Vendor name,Label
Vendor needs to be searched and resolved first,en,Vendor needs to be searched and resolved first,Tooltip
Vendor not found,en,Vendor not found,Notification
Vendor Payments,en,Vendor Payments,Menu Item
Vendor requisitions,en,Vendor requisitions,Label
Vendor search,en,Vendor search,Label
Vendor successfully created,en,Vendor successfully created,Notification
Vendor successfully updated,en,Vendor successfully updated,Notification
Vendors,en,Vendors,Menu Item
vendors found based upon your search criteria,en,vendors found based upon your search criteria,Notification
View,en,View,Button
View purchase order item details,en,View purchase order item details,Label
View requisition item details,en,View requisition item details,Label
View vendor company code details,en,View vendor company code details,Label
View vendor email details,en,View vendor email details,Label
View vendor phone details,en,View vendor phone details,Label
View vendor purchasing organization details,en,View vendor purchasing organization details,Label
